路線名稱,里程(公里),路線編號,總里程,里程,地標名稱,分段第一行,分段第二行,緯度,經度,東距,北距,GPX航點
東小南山線,1.9,YM150,24,19,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)➡往鹿山岔路(23)⇨東小南山(24),23.442333,120.959377,245849,2593266,東1.9K
東小南山線,2.0,YM150,24,20,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)➡往鹿山岔路(23)⇨東小南山(24),23.441389,120.959843,245897,2593161,東2.0K
東小南山線,2.1,YM150,24,21,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)➡往鹿山岔路(23)⇨東小南山(24),23.440362,120.960191,245932,2593048,東2.1K
東小南山線,2.2,YM150,24,22,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)➡往鹿山岔路(23)⇨東小南山(24),23.439329,120.960917,246007,2592933,東2.2K
東小南山線,2.3,YM150,24,23,往鹿山岔路,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往鹿山岔路(23)➡,23.439198,120.962259,246144,2592919,東2.3K/支0.0K
東小南山線,2.4,YM150,24,24,東小南山,,,23.439040,120.963430,246263,2592901,東2.4K
東小南山線,2.3,YM150,24,23,往鹿山岔路,東小南山(24)⇨往鹿山岔路(23)➡,南峰登山口(15)⇨三叉路口(08)⇨圓峰山屋(00),23.439198,120.962259,246144,2592919,東2.3K/支0.0K
東小南山線,2.2,YM150,24,22,,東小南山(24)⇨往鹿山岔路(23)➡,南峰登山口(15)⇨三叉路口(08)⇨圓峰山屋(00),23.439329,120.960917,246007,2592933,東2.2K
東小南山線,2.1,YM150,24,21,,東小南山(24)⇨往鹿山岔路(23)➡,南峰登山口(15)⇨三叉路口(08)⇨圓峰山屋(00),23.440362,120.960191,245932,2593048,東2.1K
東小南山線,2.0,YM150,24,20,,東小南山(24)⇨往鹿山岔路(23)➡,南峰登山口(15)⇨三叉路口(08)⇨圓峰山屋(00),23.441389,120.959843,245897,2593161,東2.0K
東小南山線,1.9,YM150,24,19,,東小南山(24)⇨往鹿山岔路(23)➡,南峰登山口(15)⇨三叉路口(08)⇨圓峰山屋(00),23.442333,120.959377,245849,2593266,東1.9K
東小南山線,1.8,YM150,24,18,,東小南山(24)⇨往鹿山岔路(23)➡,南峰登山口(15)⇨三叉路口(08)⇨圓峰山屋(00),23.443228,120.959116,245823,2593365,東1.8K
東小南山線,1.7,YM150,24,17,,東小南山(24)⇨往鹿山岔路(23)➡,南峰登山口(15)⇨三叉路口(08)⇨圓峰山屋(00),23.444029,120.958940,245805,2593454,東1.7K
東小南山線,1.6,YM150,24,16,,東小南山(24)⇨往鹿山岔路(23)➡,南峰登山口(15)⇨三叉路口(08)⇨圓峰山屋(00),23.444912,120.958619,245772,2593552,東1.6K
東小南山線,1.5,YM150,24,15,玉山南峰登山口,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)➡三叉路口(08)⇨圓峰山屋(00),23.445726,120.958393,245749,2593642,鹿東1.5K
東小南山線,1.4,YM150,24,14,,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)➡三叉路口(08)⇨圓峰山屋(00),23.446539,120.957659,245674,2593732,鹿東1.4K
東小南山線,1.3,YM150,24,13,,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)➡三叉路口(08)⇨圓峰山屋(00),23.447086,120.957413,245649,2593792,鹿東1.3K
東小南山線,1.2,YM150,24,12,,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)➡三叉路口(08)⇨圓峰山屋(00),23.447557,120.956900,245596,2593844,鹿東1.2K
東小南山線,1.1,YM150,24,11,,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)➡三叉路口(08)⇨圓峰山屋(00),23.447986,120.955857,245490,2593892,鹿東1.1K
東小南山線,1.0,YM150,24,10,,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)➡三叉路口(08)⇨圓峰山屋(00),23.448699,120.955240,245427,2593971,鹿東1.0K
東小南山線,0.9,YM150,24,9,,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)➡三叉路口(08)⇨圓峰山屋(00),23.449531,120.955320,245435,2594063,鹿東0.9K
東小南山線,0.8,YM150,24,8,三叉路口,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)⇨三叉路口(08)➡圓峰山屋(00),23.450298,120.955266,245430,2594148,南鹿東0.8K
東小南山線,0.7,YM150,24,7,,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)⇨三叉路口(08)➡圓峰山屋(00),23.450990,120.955275,245431,2594225,南鹿東0.7K
東小南山線,0.6,YM150,24,6,,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)⇨三叉路口(08)➡圓峰山屋(00),23.451755,120.955238,245427,2594309,南鹿東0.6K
東小南山線,0.5,YM150,24,5,,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)⇨三叉路口(08)➡圓峰山屋(00),23.452530,120.955170,245420,2594395,南鹿東0.5K
東小南山線,0.4,YM150,24,4,,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)⇨三叉路口(08)➡圓峰山屋(00),23.453244,120.955389,245442,2594474,南鹿東0.4K
東小南山線,0.3,YM150,24,3,,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)⇨三叉路口(08)➡圓峰山屋(00),23.453971,120.955628,245467,2594555,南鹿東0.3K
東小南山線,0.2,YM150,24,2,,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)⇨三叉路口(08)➡圓峰山屋(00),23.454723,120.955569,245461,2594638,南鹿東0.2K
東小南山線,0.1,YM150,24,1,,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)⇨三叉路口(08)➡圓峰山屋(00),23.455694,120.955077,245410,2594746,南鹿東0.1K
東小南山線,0.0,YM150,24,0,圓峰山屋,圓峰山屋(00)➡三叉路口(08)⇨,南峰登山口(15)⇨往鹿山岔路(23)⇨東小南山(24),23.456660,120.954850,245387,2594853,南鹿東0.0K
東小南山線,0.4,YM150,24,4,,圓峰山屋(00)➡三叉路口(08)⇨,南峰登山口(15)⇨往鹿山岔路(23)⇨東小南山(24),23.453244,120.955389,245442,2594474,南鹿東0.4K
東小南山線,0.8,YM150,24,8,三叉路口,圓峰山屋(00)⇨三叉路口(08)➡,南峰登山口(15)⇨往鹿山岔路(23)⇨東小南山(24),23.450298,120.955266,245430,2594148,南鹿東0.8K
東小南山線,1.2,YM150,24,12,,圓峰山屋(00)⇨三叉路口(08)➡,南峰登山口(15)⇨往鹿山岔路(23)⇨東小南山(24),23.447557,120.956900,245596,2593844,鹿東1.2K
東小南山線,1.5,YM150,24,15,玉山南峰登山口,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)➡往鹿山岔路(23)⇨東小南山(24),23.445726,120.958393,245749,2593642,鹿東1.5K
東小南山線,1.8,YM150,24,18,,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)➡往鹿山岔路(23)⇨東小南山(24),23.443228,120.959116,245823,2593365,東1.8K
東小南山線,2.3,YM150,24,23,往鹿山岔路,圓峰山屋(00)⇨三叉路口(08)⇨,南峰登山口(15)⇨往鹿山岔路(23)➡,23.439198,120.962259,246144,2592919,東2.3K/支0.0K
東小南山線,2.4,YM150,24,24,東小南山,,,23.439040,120.963430,246263,2592901,東2.4K
東小南山線,2.4,YM150,24,24,東小南山,,,23.439040,120.963430,246263,2592901,東2.4K
東小南山線,2.3,YM150,24,23,往鹿山岔路,東小南山(24)⇨往鹿山岔路(23)➡,南峰登山口(15)⇨三叉路口(08)⇨圓峰山屋(00),23.439198,120.962259,246144,2592919,東2.3K/支0.0K
東小南山線,1.5,YM150,24,15,玉山南峰登山口,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)➡三叉路口(08)⇨圓峰山屋(00),23.445726,120.958393,245749,2593642,鹿東1.5K
東小南山線,0.8,YM150,24,8,三叉路口,東小南山(24)⇨往鹿山岔路(23)⇨,南峰登山口(15)⇨三叉路口(08)➡圓峰山屋(00),23.450298,120.955266,245430,2594148,南鹿東0.8K
